County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Percent adults fully vaccinated against COVID-19 (as of 6/10/21)
Chicot County Arkansas,ARKANSAS,22.37%,27.67%,14.95%,43.5%
Lake and Peninsula Borough Alaska,ALASKA,23.61%,28.84%,17.04%,58.5%
Jefferson County Alabama,ALABAMA,14.9%,20.41%,11.11%,44.8%
Johnson County Arkansas,ARKANSAS,20.91%,25.76%,13.78%,36.2%
Geneva County Alabama,ALABAMA,17.68%,23.52%,13.44%,29.1%
Morgan County Alabama,ALABAMA,17.13%,22.21%,13.03%,34.9%
Covington County Alabama,ALABAMA,17.58%,23.04%,13.43%,25.4%
Pinal County Arizona,ARIZONA,16.35%,24.37%,12.58%,39.8%
Blount County Alabama,ALABAMA,18.54%,23.62%,14.16%,21.5%
Craighead County Arkansas,ARKANSAS,21.4%,26.46%,13.95%,32.9%
Garland County Arkansas,ARKANSAS,20.31%,25.02%,13.3%,34.9%
Ketchikan Gateway Borough Alaska,ALASKA,18.97%,22.96%,13.62%,58.1%
Yakutat City and Borough Alaska,ALASKA,23.61%,28.84%,17.04%,73%
Desha County Arkansas,ARKANSAS,22.37%,27.67%,14.95%,46.8%
Marshall County Alabama,ALABAMA,16.18%,21.03%,12.25%,33.4%
Coffee County Alabama,ALABAMA,17.58%,23.04%,13.43%,27.1%
Skagway Municipality Alaska,ALASKA,18.97%,22.96%,13.62%,68.6%
Arkansas County Arkansas,ARKANSAS,21.19%,26.46%,14.02%,43.4%
Cleburne County Arkansas,ARKANSAS,21.77%,26.54%,14.52%,34.9%
Matanuska-Susitna Borough Alaska,ALASKA,18.6%,21.85%,13.73%,33.1%
Graham County Arizona,ARIZONA,16.38%,24.42%,12.52%,55.1%
Riverside County California,CALIFORNIA,6.9%,10.68%,3.35%,45.9%
Montrose County Colorado,COLORADO,7.68%,11.87%,4.74%,33.6%
Boulder County Colorado,COLORADO,5.76%,9.02%,3.46%,50.9%
Lee County Arkansas,ARKANSAS,22.79%,28.57%,15.2%,26.3%
Tehama County California,CALIFORNIA,8.21%,12.84%,4.1%,32.3%
Elbert County Colorado,COLORADO,6.81%,10.2%,4.12%,25.8%
Madison County Arkansas,ARKANSAS,20.42%,24.45%,13.46%,31.4%
Grand County Colorado,COLORADO,6.52%,9.95%,3.82%,43.7%
Montgomery County Arkansas,ARKANSAS,20.31%,25.02%,13.3%,31%
Madera County California,CALIFORNIA,8.2%,12.94%,4.1%,44%
Park County Colorado,COLORADO,8.47%,12.88%,5.17%,30.9%
Colusa County California,CALIFORNIA,8.21%,12.84%,4.1%,47.4%
Saline County Arkansas,ARKANSAS,19.8%,23.64%,12.92%,39%
Alameda County California,CALIFORNIA,4.79%,7.49%,2.37%,68.4%
Scott County Arkansas,ARKANSAS,21.54%,26.53%,14.29%,29.5%
Kings County California,CALIFORNIA,8.92%,14.48%,4.4%,31.1%
Perry County Arkansas,ARKANSAS,20.91%,25.76%,13.78%,40.9%
Delta County Colorado,COLORADO,7.68%,11.87%,4.74%,30.2%
Jefferson County Colorado,COLORADO,6.48%,9.87%,3.86%,50.7%
Prairie County Arkansas,ARKANSAS,22.65%,27.77%,15.09%,30.5%
Fresno County California,CALIFORNIA,7.06%,11.54%,3.45%,49.4%
Yolo County California,CALIFORNIA,6.06%,9.74%,2.99%,55.5%
Marin County California,CALIFORNIA,4.96%,7.25%,2.5%,78.9%
Santa Barbara County California,CALIFORNIA,6.91%,10.7%,3.43%,58.9%
Sharp County Arkansas,ARKANSAS,21.77%,26.54%,14.52%,30%
Conejos County Colorado,COLORADO,7.96%,13.12%,4.79%,30%
Gunnison County Colorado,COLORADO,7.36%,11.42%,4.38%,39.4%
Solano County California,CALIFORNIA,6.28%,9.69%,3.12%,51.6%
Modoc County California,CALIFORNIA,9.23%,14.02%,4.65%,
Lincoln County Colorado,COLORADO,9.45%,14.84%,5.82%,19.4%
Trinity County California,CALIFORNIA,8.21%,12.84%,4.1%,
Logan County Colorado,COLORADO,9.45%,14.84%,5.82%,20.2%
El Paso County Colorado,COLORADO,7.84%,12.5%,4.65%,41.9%
Lincoln County Arkansas,ARKANSAS,22.37%,27.67%,14.95%,25.2%
San Francisco County California,CALIFORNIA,3.88%,6.01%,1.92%,69.6%
Marion County Arkansas,ARKANSAS,20.42%,24.45%,13.46%,26.9%
Merced County California,CALIFORNIA,7.96%,12.62%,3.9%,35%
Fremont County Colorado,COLORADO,8.47%,12.88%,5.17%,25.8%
Sonoma County California,CALIFORNIA,6.11%,8.98%,3.01%,65.4%
Broomfield County Colorado,COLORADO,5.81%,8.8%,3.46%,51.8%
Sevier County Arkansas,ARKANSAS,21.54%,26.53%,14.29%,35%
Alpine County California,CALIFORNIA,7.79%,11.46%,3.87%,
Sacramento County California,CALIFORNIA,6.87%,10.66%,3.37%,52.5%
Pulaski County Arkansas,ARKANSAS,17.75%,22.51%,11.26%,46.6%
Montezuma County Colorado,COLORADO,7.36%,11.42%,4.38%,39%
Washington County Arkansas,ARKANSAS,20.44%,25.21%,13.34%,40.5%
Ventura County California,CALIFORNIA,6.12%,9.18%,2.98%,60%
Nevada County California,CALIFORNIA,7.26%,10.7%,3.63%,50.4%
Arapahoe County Colorado,COLORADO,6.81%,10.73%,4.08%,41%
Monroe County Arkansas,ARKANSAS,22.79%,28.57%,15.2%,40.4%
Lake County California,CALIFORNIA,8.59%,13.15%,4.22%,48.3%
Ouray County Colorado,COLORADO,7.68%,11.87%,4.74%,43.7%
Custer County Colorado,COLORADO,8.47%,12.88%,5.17%,25.7%
Jackson County Colorado,COLORADO,6.52%,9.95%,3.82%,23.5%
San Mateo County California,CALIFORNIA,4.28%,6.38%,2.15%,71.2%
Alamosa County Colorado,COLORADO,7.96%,13.12%,4.79%,32.9%
Ouachita County Arkansas,ARKANSAS,19.67%,24.79%,12.96%,39.9%
La Plata County Colorado,COLORADO,7.36%,11.42%,4.38%,49.3%
Calaveras County California,CALIFORNIA,7.79%,11.46%,3.87%,41.5%
Mesa County Colorado,COLORADO,8.69%,13.6%,5.3%,32.3%
San Diego County California,CALIFORNIA,6.17%,9.52%,3.01%,44.5%
Lake County Colorado,COLORADO,8.47%,12.88%,5.17%,39.2%
Clear Creek County Colorado,COLORADO,4.94%,7.17%,2.98%,28.3%
Little River County Arkansas,ARKANSAS,21.12%,25.89%,13.77%,23.8%
Van Buren County Arkansas,ARKANSAS,21.77%,26.54%,14.52%,34.6%
White County Arkansas,ARKANSAS,22.65%,27.77%,15.09%,34.9%
El Dorado County California,CALIFORNIA,6.29%,9.16%,3.12%,51.6%
Napa County California,CALIFORNIA,5.65%,8.45%,2.8%,66.3%
Poinsett County Arkansas,ARKANSAS,22.79%,28.57%,15.2%,31.9%
Randolph County Arkansas,ARKANSAS,21.34%,26.31%,13.91%,22.8%
Del Norte County California,CALIFORNIA,9.23%,14.02%,4.65%,32.3%
Mendocino County California,CALIFORNIA,8.59%,13.15%,4.22%,56.3%
Garfield County Colorado,COLORADO,8.32%,12.89%,5.01%,33.1%
Sebastian County Arkansas,ARKANSAS,20.68%,25.29%,13.42%,29%
San Benito County California,CALIFORNIA,7.72%,12.14%,3.81%,50.7%
Newton County Arkansas,ARKANSAS,20.42%,24.45%,13.46%,25.6%
Lassen County California,CALIFORNIA,9.23%,14.02%,4.65%,29.6%
Pitkin County Colorado,COLORADO,6.52%,9.95%,3.82%,32.7%
Imperial County California,CALIFORNIA,7.48%,12.36%,3.6%,57.3%
Stanislaus County California,CALIFORNIA,7.8%,12.3%,3.8%,40.5%
Douglas County Colorado,COLORADO,5.91%,8.63%,3.58%,51.2%
Shasta County California,CALIFORNIA,8.05%,12.02%,3.96%,38.6%
San Luis Obispo County California,CALIFORNIA,6.74%,10.22%,3.36%,48.9%
Miller County Arkansas,ARKANSAS,21.12%,25.89%,13.77%,10.3%
Amador County California,CALIFORNIA,7.79%,11.46%,3.87%,40.4%
Archuleta County Colorado,COLORADO,7.36%,11.42%,4.38%,30.7%
Chaffee County Colorado,COLORADO,8.47%,12.88%,5.17%,32.4%
Otero County Colorado,COLORADO,7.96%,13.12%,4.79%,27.4%
Tuolumne County California,CALIFORNIA,7.79%,11.46%,3.87%,47.3%
Orange County California,CALIFORNIA,5.37%,8.18%,2.64%,58.8%
Crowley County Colorado,COLORADO,9.45%,14.84%,5.82%,10.7%
Larimer County Colorado,COLORADO,6.84%,10.65%,4.07%,46.5%
Mineral County Colorado,COLORADO,7.96%,13.12%,4.79%,43.1%
Logan County Arkansas,ARKANSAS,21.54%,26.53%,14.29%,34.4%
Santa Cruz County California,CALIFORNIA,6.02%,9.06%,2.99%,63.5%
Woodruff County Arkansas,ARKANSAS,22.65%,27.77%,15.09%,45.8%
Dolores County Colorado,COLORADO,7.36%,11.42%,4.38%,22.9%
Huerfano County Colorado,COLORADO,8.47%,12.88%,5.17%,31.3%
Prowers County Colorado,COLORADO,7.96%,13.12%,4.79%,24.5%
Humboldt County California,CALIFORNIA,8.21%,12.5%,4.02%,52.5%
Monterey County California,CALIFORNIA,6.77%,10.61%,3.33%,57.6%
Polk County Arkansas,ARKANSAS,21.54%,26.53%,14.29%,26.7%
Adams County Colorado,COLORADO,7.77%,12.33%,4.65%,40%
Inyo County California,CALIFORNIA,7.79%,11.46%,3.87%,
Placer County California,CALIFORNIA,5.81%,8.43%,2.89%,56%
Pike County Arkansas,ARKANSAS,21.12%,25.89%,13.77%,30.1%
Kit Carson County Colorado,COLORADO,9.45%,14.84%,5.82%,23.7%
Union County Arkansas,ARKANSAS,19.67%,24.79%,12.96%,36.1%
Nevada County Arkansas,ARKANSAS,21.12%,25.89%,13.77%,26.9%
San Bernardino County California,CALIFORNIA,7.4%,11.74%,3.61%,43.9%
Phillips County Colorado,COLORADO,9.45%,14.84%,5.82%,28.4%
Contra Costa County California,CALIFORNIA,5.43%,8.25%,2.7%,70%
Baca County Colorado,COLORADO,7.96%,13.12%,4.79%,19.2%
Sutter County California,CALIFORNIA,8.21%,12.88%,4.1%,46%
Cheyenne County Colorado,COLORADO,9.45%,14.84%,5.82%,15.2%
Butte County California,CALIFORNIA,7.9%,12.14%,3.92%,43.6%
Searcy County Arkansas,ARKANSAS,20.42%,24.45%,13.46%,30.9%
Los Angeles County California,CALIFORNIA,6.02%,9.59%,2.91%,56.2%
Eagle County Colorado,COLORADO,6.52%,9.95%,3.82%,47.6%
Morgan County Colorado,COLORADO,9.45%,14.84%,5.82%,31.5%
St. Francis County Arkansas,ARKANSAS,22.79%,28.57%,15.2%,35.9%
Mississippi County Arkansas,ARKANSAS,21.68%,27.26%,14.17%,31%
San Joaquin County California,CALIFORNIA,7.12%,11.43%,3.54%,43.3%
Gilpin County Colorado,COLORADO,4.94%,7.17%,2.98%,40.7%
Mariposa County California,CALIFORNIA,7.79%,11.46%,3.87%,
Sierra County California,CALIFORNIA,7.26%,10.7%,3.63%,
Yell County Arkansas,ARKANSAS,20.91%,25.76%,13.78%,35.7%
Pueblo County Colorado,COLORADO,7.66%,12.54%,4.53%,32.9%
Stone County Arkansas,ARKANSAS,21.77%,26.54%,14.52%,31.8%
Kern County California,CALIFORNIA,8.21%,13.31%,4.04%,40.8%
Pope County Arkansas,ARKANSAS,20.91%,25.76%,13.78%,38%
Costilla County Colorado,COLORADO,7.96%,13.12%,4.79%,34.8%
Lonoke County Arkansas,ARKANSAS,20.95%,25.56%,13.59%,37.2%
Kiowa County Colorado,COLORADO,9.45%,14.84%,5.82%,14.6%
Moffat County Colorado,COLORADO,8.32%,12.89%,5.01%,22.7%
Santa Clara County California,CALIFORNIA,4.13%,6.31%,2.06%,73.4%
Yuba County California,CALIFORNIA,8.21%,12.88%,4.1%,36.6%
Las Animas County Colorado,COLORADO,7.96%,13.12%,4.79%,33.7%
Glenn County California,CALIFORNIA,8.21%,12.84%,4.1%,44.1%
Phillips County Arkansas,ARKANSAS,22.79%,28.57%,15.2%,37.5%
Plumas County California,CALIFORNIA,9.23%,14.02%,4.65%,
Mono County California,CALIFORNIA,7.79%,11.46%,3.87%,
Tulare County California,CALIFORNIA,7.96%,12.84%,3.89%,42.9%
Denver County Colorado,COLORADO,6.58%,10.47%,3.82%,46.5%
Hinsdale County Colorado,COLORADO,7.36%,11.42%,4.38%,30.4%
Siskiyou County California,CALIFORNIA,9.23%,14.02%,4.65%,43.3%
Bent County Colorado,COLORADO,9.45%,14.84%,5.82%,10.1%
Stephens County Georgia,GEORGIA,16.56%,23.58%,10.61%,5.6%
Lincoln County Idaho,IDAHO,20.13%,27.76%,13.38%,34.2%
Bonner County Idaho,IDAHO,18.5%,24.91%,12.03%,37.4%
Canyon County Idaho,IDAHO,18.7%,25.05%,12.04%,36.6%
Pike County Georgia,GEORGIA,16.83%,24.48%,10.72%,8%
Oneida County Idaho,IDAHO,20.22%,27.27%,13.15%,37.6%
Miller County Georgia,GEORGIA,17.84%,26.45%,11.48%,9.8%
Jenkins County Georgia,GEORGIA,16.23%,24.62%,10.43%,15.1%
McIntosh County Georgia,GEORGIA,15.36%,22.37%,9.64%,31.3%
Johnson County Georgia,GEORGIA,17.28%,25.41%,11.17%,6.4%
Paulding County Georgia,GEORGIA,16.57%,23.29%,10.32%,15%
Bear Lake County Idaho,IDAHO,20.22%,27.27%,13.15%,43.4%
Custer County Idaho,IDAHO,18.68%,24.57%,12.25%,40.3%
Jackson County Georgia,GEORGIA,15.75%,22.19%,9.91%,20.3%
Morgan County Georgia,GEORGIA,15.88%,22.45%,10.06%,18.4%
Polk County Georgia,GEORGIA,16.49%,23.81%,10.45%,6.6%
Thomas County Georgia,GEORGIA,16.24%,23.74%,10.34%,15.7%
Laurens County Georgia,GEORGIA,17.28%,25.41%,11.17%,16.6%
Maui County Hawaii,HAWAII,6.1%,9.79%,3.26%,
Caribou County Idaho,IDAHO,20.22%,27.27%,13.15%,35.5%
Turner County Georgia,GEORGIA,17.47%,25.52%,11.21%,11.9%
Teton County Idaho,IDAHO,20.11%,27.29%,13.24%,55.9%
Rabun County Georgia,GEORGIA,14.69%,20.76%,9.34%,22.3%
Jefferson County Idaho,IDAHO,20.11%,27.29%,13.24%,36.7%
Jerome County Idaho,IDAHO,20.13%,27.76%,13.38%,36%
Bonneville County Idaho,IDAHO,18.42%,24.52%,11.86%,45.9%
Tattnall County Georgia,GEORGIA,18.64%,26.92%,12.19%,7%
Okaloosa County Florida,FLORIDA,15.01%,20.94%,9.87%,43.5%
Douglas County Georgia,GEORGIA,13.91%,21.09%,8.64%,22.3%
Bibb County Georgia,GEORGIA,14.9%,22.88%,9.33%,19%
Rio Blanco County Colorado,COLORADO,8.32%,12.89%,5.01%,17.7%
Wakulla County Florida,FLORIDA,16.81%,23.45%,11.51%,35.4%
Chatham County Georgia,GEORGIA,14.51%,21.6%,8.98%,40.6%
San Miguel County Colorado,COLORADO,7.68%,11.87%,4.74%,58.4%
Clay County Georgia,GEORGIA,15.56%,23.29%,9.91%,19.4%
Weld County Colorado,COLORADO,7.59%,11.82%,4.56%,37.4%
Lafayette County Florida,FLORIDA,17.25%,24.18%,11.75%,29.3%
Elbert County Georgia,GEORGIA,15.03%,21.5%,9.53%,14%
Gadsden County Florida,FLORIDA,16.81%,23.45%,11.51%,45.8%
Alachua County Florida,FLORIDA,11.67%,17.11%,7.55%,54.7%
Dixie County Florida,FLORIDA,17.95%,24.73%,12.42%,25.3%
Baker County Florida,FLORIDA,15.5%,21.16%,10.39%,23.4%
Holmes County Florida,FLORIDA,15.53%,21.2%,10.3%,24%
Litchfield County Connecticut,CONNECTICUT,5.58%,7.75%,3.12%,65.7%
Camden County Georgia,GEORGIA,15.36%,22.37%,9.64%,37.9%
Colquitt County Georgia,GEORGIA,16.24%,23.74%,10.34%,11.7%
Kent County Delaware,DELAWARE,6.64%,13.91%,3.88%,43.5%
Hamilton County Florida,FLORIDA,17.25%,24.18%,11.75%,28.7%
Bacon County Georgia,GEORGIA,18.8%,27.23%,12.24%,6.3%
Lake County Florida,FLORIDA,12.9%,17.79%,8.61%,53.5%
St. Johns County Florida,FLORIDA,12.01%,16.12%,7.89%,59%
Broward County Florida,FLORIDA,12.15%,17.41%,7.91%,52.3%
Bulloch County Georgia,GEORGIA,15.76%,23.46%,9.86%,22.3%
Clayton County Georgia,GEORGIA,15.41%,24.13%,9.65%,13.3%
Suwannee County Florida,FLORIDA,17.25%,24.18%,11.75%,29.1%
Floyd County Georgia,GEORGIA,16.49%,23.81%,10.45%,10.1%
Liberty County Florida,FLORIDA,16.81%,23.45%,11.51%,26.9%
Dawson County Georgia,GEORGIA,14.69%,20.76%,9.34%,6.2%
Walton County Florida,FLORIDA,15.53%,21.2%,10.3%,36.9%
Decatur County Georgia,GEORGIA,17.84%,26.45%,11.48%,30.9%
Chattahoochee County Georgia,GEORGIA,14.96%,23.19%,9.27%,99.9%
Rio Grande County Colorado,COLORADO,7.96%,13.12%,4.79%,39.6%
Pasco County Florida,FLORIDA,13.79%,18.93%,9.1%,45.1%
Sedgwick County Colorado,COLORADO,9.45%,14.84%,5.82%,23.8%
Levy County Florida,FLORIDA,17.95%,24.73%,12.42%,34.5%
Chattooga County Georgia,GEORGIA,16.94%,24.14%,10.79%,6.5%
Taylor County Florida,FLORIDA,17.25%,24.18%,11.75%,29.2%
Bleckley County Georgia,GEORGIA,17.28%,25.41%,11.17%,4%
Brevard County Florida,FLORIDA,12.7%,17.44%,8.33%,49.9%
Duval County Florida,FLORIDA,14.18%,20.44%,9.32%,45.7%
Okeechobee County Florida,FLORIDA,15.07%,21.48%,10.15%,36.4%
New Castle County Delaware,DELAWARE,5.64%,11.8%,3.29%,55.2%
Dougherty County Georgia,GEORGIA,15.52%,23.82%,9.82%,14.3%
Clay County Florida,FLORIDA,13.77%,19.03%,8.99%,35.4%
Atkinson County Georgia,GEORGIA,18.8%,27.23%,12.24%,6.3%
Martin County Florida,FLORIDA,10.85%,14.7%,7.06%,52.9%
Barrow County Georgia,GEORGIA,15.75%,22.19%,9.91%,13.1%
Washington County Colorado,COLORADO,9.45%,14.84%,5.82%,18.9%
Indian River County Florida,FLORIDA,12.54%,17.26%,8.29%,53.3%
Effingham County Georgia,GEORGIA,15.76%,23.46%,9.86%,18.7%
Calhoun County Georgia,GEORGIA,17.84%,26.45%,11.48%,10.1%
Coffee County Georgia,GEORGIA,18.8%,27.23%,12.24%,21.9%
Putnam County Florida,FLORIDA,15.71%,21.71%,10.55%,28.9%
Banks County Georgia,GEORGIA,16.56%,23.58%,10.61%,8.8%
Hartford County Connecticut,CONNECTICUT,5.31%,7.8%,2.9%,66.2%
Crawford County Georgia,GEORGIA,14.78%,21.84%,9.35%,13.4%
Franklin County Florida,FLORIDA,16.81%,23.45%,11.51%,38.4%
DeKalb County Georgia,GEORGIA,12.16%,18.67%,7.45%,26.6%
Palm Beach County Florida,FLORIDA,11.38%,15.84%,7.46%,52.2%
Coweta County Georgia,GEORGIA,13.74%,19.61%,8.57%,22.1%
Bryan County Georgia,GEORGIA,16.45%,25.08%,10.16%,31.3%
Routt County Colorado,COLORADO,8.32%,12.89%,5.01%,50.3%
Citrus County Florida,FLORIDA,13.6%,18.45%,9.09%,46.9%
Collier County Florida,FLORIDA,10.71%,14.59%,7.06%,57.1%
Gulf County Florida,FLORIDA,16.81%,23.45%,11.51%,38.8%
Marion County Florida,FLORIDA,14.34%,19.98%,9.58%,44.6%
New London County Connecticut,CONNECTICUT,6.22%,9.04%,3.4%,68.4%
Sussex County Delaware,DELAWARE,5.55%,11.21%,3.28%,56.9%
Glades County Florida,FLORIDA,15.07%,21.48%,10.15%,24.5%
Leon County Florida,FLORIDA,11.99%,17.81%,7.83%,45.1%
Cherokee County Georgia,GEORGIA,13.69%,18.96%,8.52%,26.4%
Bradford County Florida,FLORIDA,17.95%,24.73%,12.42%,27.6%
Orange County Florida,FLORIDA,12.38%,17.75%,7.97%,50.7%
Fairfield County Connecticut,CONNECTICUT,4.99%,7.17%,2.78%,69.3%
Jackson County Florida,FLORIDA,16.81%,23.45%,11.51%,33.6%
Evans County Georgia,GEORGIA,18.64%,26.92%,12.19%,15.2%
Hernando County Florida,FLORIDA,14.38%,19.7%,9.51%,42%
Union County Florida,FLORIDA,17.95%,24.73%,12.42%,25.2%
Catoosa County Georgia,GEORGIA,16.94%,24.14%,10.79%,9.6%
Sarasota County Florida,FLORIDA,11.29%,15.07%,7.45%,58%
Polk County Florida,FLORIDA,14.34%,20.24%,9.47%,41.2%
Summit County Colorado,COLORADO,6.52%,9.95%,3.82%,57.7%
Escambia County Florida,FLORIDA,15.28%,21.51%,10.14%,41%
Bartow County Georgia,GEORGIA,17.17%,24.45%,10.88%,10%
Brantley County Georgia,GEORGIA,18.8%,27.23%,12.24%,7.2%
Echols County Georgia,GEORGIA,18.8%,27.23%,12.24%,10.8%
Appling County Georgia,GEORGIA,18.64%,26.92%,12.19%,7.3%
Miami-Dade County Florida,FLORIDA,11.25%,16.4%,7.19%,58.3%
Butts County Georgia,GEORGIA,16.83%,24.48%,10.72%,7.8%
Crisp County Georgia,GEORGIA,15.56%,23.29%,9.91%,11.7%
Dodge County Georgia,GEORGIA,17.28%,25.41%,11.17%,3.9%
Saguache County Colorado,COLORADO,7.96%,13.12%,4.79%,17.7%
Santa Rosa County Florida,FLORIDA,15.01%,20.53%,9.97%,38%
Columbia County Florida,FLORIDA,17.95%,24.73%,12.42%,31.2%
Carroll County Georgia,GEORGIA,17.67%,25.37%,11.24%,17.8%
Cobb County Georgia,GEORGIA,11.95%,17.39%,7.32%,35.1%
Fannin County Georgia,GEORGIA,16.88%,23.87%,10.8%,16.5%
Hendry County Florida,FLORIDA,15.07%,21.48%,10.15%,36.4%
Manatee County Florida,FLORIDA,12.43%,17.07%,8.18%,48.5%
Tolland County Connecticut,CONNECTICUT,5.52%,7.83%,3.09%,59.7%
Baldwin County Georgia,GEORGIA,14.78%,21.84%,9.35%,5.7%
Highlands County Florida,FLORIDA,14.45%,20.54%,9.75%,40.3%
Monroe County Florida,FLORIDA,13.65%,18.88%,8.9%,59%
New Haven County Connecticut,CONNECTICUT,5.79%,8.54%,3.18%,65.9%
Cook County Georgia,GEORGIA,17.47%,25.52%,11.21%,32.4%
Charlotte County Florida,FLORIDA,12.28%,16.58%,8.26%,54.5%
Yuma County Colorado,COLORADO,9.45%,14.84%,5.82%,23.8%
Osceola County Florida,FLORIDA,12.24%,17.87%,7.75%,50.3%
Emanuel County Georgia,GEORGIA,17.28%,25.41%,11.17%,22.3%
Gilchrist County Florida,FLORIDA,17.95%,24.73%,12.42%,26.6%
Ben Hill County Georgia,GEORGIA,17.47%,25.52%,11.21%,6.2%
Volusia County Florida,FLORIDA,13.34%,18.6%,8.73%,46.3%
Brooks County Georgia,GEORGIA,17.47%,25.52%,11.21%,26.3%
Flagler County Florida,FLORIDA,12.06%,16.51%,7.94%,51.9%
Bay County Florida,FLORIDA,15.53%,21.2%,10.3%,37.3%
Jefferson County Florida,FLORIDA,16.81%,23.45%,11.51%,50.8%
Charlton County Georgia,GEORGIA,18.8%,27.23%,12.24%,5.4%
Early County Georgia,GEORGIA,17.84%,26.45%,11.48%,8.5%
District of Columbia District of Columbia,DISTRICT OF COLUMBIA,6.55%,8.5%,4.03%,54.6%
Teller County Colorado,COLORADO,8.24%,13.66%,4.94%,27.6%
Pinellas County Florida,FLORIDA,12.39%,17%,8.12%,51.7%
Clarke County Georgia,GEORGIA,12.88%,20.5%,7.87%,18.5%
Lee County Florida,FLORIDA,12.09%,16.66%,7.95%,49.2%
Seminole County Florida,FLORIDA,11.46%,15.95%,7.36%,48%
DeSoto County Florida,FLORIDA,14.34%,20.37%,9.68%,35.2%
Fayette County Georgia,GEORGIA,11.36%,15.88%,7.02%,30.3%
Calhoun County Florida,FLORIDA,16.81%,23.45%,11.51%,26.6%
Hillsborough County Florida,FLORIDA,12.89%,18.38%,8.33%,46%
Windham County Connecticut,CONNECTICUT,6.77%,9.88%,3.75%,55.1%
Burke County Georgia,GEORGIA,16.23%,24.62%,10.43%,34.2%
San Juan County Colorado,COLORADO,7.36%,11.42%,4.38%,35.5%
Columbia County Georgia,GEORGIA,13.13%,18.37%,8.17%,23%
Dooly County Georgia,GEORGIA,15.56%,23.29%,9.91%,10.5%
St. Lucie County Florida,FLORIDA,13.59%,18.88%,9.02%,43.6%
Baker County Georgia,GEORGIA,17.84%,26.45%,11.48%,26.4%
Dade County Georgia,GEORGIA,16.94%,24.14%,10.79%,12%
Hardee County Florida,FLORIDA,14.34%,20.37%,9.68%,29.4%
Middlesex County Connecticut,CONNECTICUT,5.41%,7.77%,2.99%,74.4%
Nassau County Florida,FLORIDA,15.5%,21.16%,10.39%,47.3%
Madison County Florida,FLORIDA,17.25%,24.18%,11.75%,35.2%
Washington County Florida,FLORIDA,15.53%,21.2%,10.3%,23.6%
Candler County Georgia,GEORGIA,17.28%,25.41%,11.17%,11.8%
Clinch County Georgia,GEORGIA,18.8%,27.23%,12.24%,26.6%
Sumter County Florida,FLORIDA,11.38%,15.49%,7.67%,69.5%
Berrien County Georgia,GEORGIA,17.47%,25.52%,11.21%,13.9%
Montgomery County Illinois,ILLINOIS,10.17%,16.92%,6.33%,39.4%
Huntington County Indiana,INDIANA,13.83%,18.58%,8.82%,45.3%
Williamson County Illinois,ILLINOIS,9.85%,16.8%,6.03%,42%
Valley County Idaho,IDAHO,18.68%,24.57%,12.25%,55.4%
Shelby County Illinois,ILLINOIS,9.86%,16.41%,6.12%,34.1%
Clinton County Indiana,INDIANA,13.9%,19.08%,8.73%,41.3%
Boone County Illinois,ILLINOIS,8.88%,14.78%,5.41%,45.5%
DeKalb County Indiana,INDIANA,14.83%,19.66%,9.76%,39%
Cass County Illinois,ILLINOIS,10.42%,17.39%,6.46%,49.1%
McDonough County Illinois,ILLINOIS,9.65%,16.25%,5.93%,38.4%
Jefferson County Indiana,INDIANA,14.17%,19.22%,8.9%,48.3%
Jefferson County Illinois,ILLINOIS,10.02%,16.76%,6.18%,34.1%
Edgar County Illinois,ILLINOIS,9.58%,16.19%,5.91%,35.7%
Henderson County Illinois,ILLINOIS,9.65%,16.25%,5.93%,40.3%
Edwards County Illinois,ILLINOIS,10.39%,17.25%,6.52%,33.4%
Lawrence County Illinois,ILLINOIS,10.55%,17.45%,6.57%,29%
Clay County Illinois,ILLINOIS,10.55%,17.45%,6.57%,32.6%
Brown County Indiana,INDIANA,13.43%,17.95%,8.45%,43.7%
Floyd County Indiana,INDIANA,12.68%,17.07%,7.88%,51%
DeKalb County Illinois,ILLINOIS,7.96%,13.6%,4.75%,42.6%
Kane County Illinois,ILLINOIS,7.47%,12.56%,4.49%,50.2%
Vermilion County Illinois,ILLINOIS,10.6%,18.13%,6.53%,32.2%
McHenry County Illinois,ILLINOIS,7.9%,12.85%,4.81%,50.2%
Pulaski County Illinois,ILLINOIS,10.39%,17.25%,6.52%,29.7%
Franklin County Illinois,ILLINOIS,9.85%,16.8%,6.03%,33.2%
Bartholomew County Indiana,INDIANA,11.49%,15.49%,7.06%,51.5%
Quitman County Georgia,GEORGIA,15.56%,23.29%,9.91%,8.7%
Boundary County Idaho,IDAHO,18.5%,24.91%,12.03%,30.2%
Twiggs County Georgia,GEORGIA,14.78%,21.84%,9.35%,4.3%
Lanier County Georgia,GEORGIA,18.8%,27.23%,12.24%,7.4%
Macon County Georgia,GEORGIA,15.56%,23.29%,9.91%,10.5%
Stewart County Georgia,GEORGIA,15.56%,23.29%,9.91%,13.2%
Jasper County Georgia,GEORGIA,15.88%,22.45%,10.06%,11.4%
Lewis County Idaho,IDAHO,18.68%,24.57%,12.25%,41.2%
Long County Georgia,GEORGIA,16.45%,25.08%,10.16%,2.9%
Schley County Georgia,GEORGIA,15.56%,23.29%,9.91%,11.3%
